Date,EWA,EWC,EWG,EWH,EWJ,EWT,EWU,EWY,EWZ,GDX,GDXJ,GLD,HYG,IEF,IWD,IWF,IWM,KBE,KIE,KRE,LQD,MTUM,OIH,QUAL,SLV,TLT,UNG,USO,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XOP
2020-01-02,18.085594177246094,26.467487335205078,25.817459106445312,20.05340576171875,52.42612075805664,27.770475387573242,27.29414176940918,55.56373596191406,31.972654342651367,27.24230194091797,38.54262161254883,143.9499969482422,62.90593719482422,95.01099395751953,120.82710266113281,42.84343338012695,153.43309020996094,39.806331634521484,31.739269256591797,48.86960983276367,102.1806640625,117.7118911743164,245.00360107421875,93.88621520996094,16.809999465942383,113.74645233154297,65.87999725341797,102.4800033569336,26.765254974365234,51.0521125793457,23.356088638305664,27.64297103881836,75.15054321289062,44.294185638427734,52.98992919921875,31.01463508605957,26.264925003051758,92.30610656738281,60.155189514160156,81.1824722290039
2020-01-03,17.894716262817383,26.33506202697754,25.3249568939209,19.779802322387695,51.848087310791016,27.370515823364258,27.04637908935547,54.437625885009766,31.695261001586914,27.075231552124023,38.106178283691406,145.86000061035156,62.841773986816406,95.64590454101562,120.01587677001953,42.533538818359375,152.83152770996094,39.428348541259766,31.685836791992188,48.342506408691406,102.5312271118164,117.69318389892578,248.49838256835938,93.27798461914062,16.84000015258789,115.49825286865234,65.55999755859375,105.44000244140625,26.333127975463867,50.72279739379883,23.28668785095215,27.349464416503906,75.00568389892578,43.79617691040039,52.90512466430664,31.241844177246094,26.318431854248047,91.50170135498047,59.64326477050781,82.45203399658203
2020-01-06,17.990156173706055,26.467487335205078,25.359519958496094,19.836135864257812,52.03200149536133,27.190532684326172,27.214218139648438,54.241004943847656,31.206520080566406,27.121641159057617,38.142555236816406,147.38999938964844,62.77769088745117,95.54290771484375,120.12165832519531,42.804988861083984,153.03515625,39.1175422668457,31.65911102294922,47.92417907714844,102.18864440917969,117.82400512695312,253.09681701660156,93.49917602539062,16.940000534057617,114.84236145019531,66.36000061035156,105.27999877929688,26.218481063842773,51.40022659301758,23.467885971069336,27.331676483154297,75.03285217285156,43.900516510009766,53.015377044677734,31.249961853027344,26.343124389648438,92.07111358642578,59.80916213989258,83.00102233886719
2020-01-07,17.966297149658203,26.493968963623047,25.31631851196289,19.828083038330078,52.11958312988281,27.06387710571289,27.03838348388672,54.821937561035156,31.18671226501465,27.38153076171875,38.779022216796875,147.97000122070312,62.720703125,95.40564727783203,119.76019287109375,42.716121673583984,152.5260772705078,38.85715866088867,31.436471939086914,47.62295913696289,101.92562866210938,117.53435516357422,247.5787353515625,93.37013244628906,17.170000076293945,114.2778091430664,66.4800033569336,105.04000091552734,26.187618255615234,51.46608352661133,23.406206130981445,27.153791427612305,74.87894439697266,43.88154220581055,52.608280181884766,30.909141540527344,26.306079864501953,91.89034271240234,59.71437454223633,83.99607849121094
2020-01-08,18.069686889648438,26.467487335205078,25.549604415893555,19.86027717590332,52.12834548950195,27.070545196533203,27.06236457824707,54.85768508911133,31.048006057739258,26.314117431640625,37.13330078125,146.86000061035156,62.77769088745117,95.18253326416016,120.01587677001953,43.06924057006836,152.99807739257812,39.15955352783203,31.516630172729492,47.974365234375,101.78224182128906,118.16039276123047,239.4854736328125,93.74798583984375,16.93000030517578,113.52227020263672,66.5199966430664,101.27999877929688,26.280216217041016,51.833038330078125,23.020662307739258,27.331676483154297,75.13243103027344,44.35110092163086,52.803340911865234,31.063325881958008,26.293729782104492,92.48685455322266,59.89448547363281,80.80504608154297
2020-01-09,18.077640533447266,26.511627197265625,25.78289794921875,20.101686477661133,52.49618148803711,27.2905216217041,27.078350067138672,55.37605285644531,30.81024169921875,26.02638053894043,36.57866668701172,146.02999877929688,62.941524505615234,95.25119018554688,120.54492950439453,43.42236328125,153.18319702148438,39.352745056152344,31.79270362854004,48.14169692993164,102.268310546875,119.18820190429688,241.6927032470703,94.51285552978516,16.719999313354492,113.92086029052734,66.68000030517578,99.91999816894531,26.37722396850586,52.10588836669922,23.190303802490234,27.50066566467285,75.44929504394531,44.85383987426758,53.176509857177734,31.05521011352539,26.437795639038086,92.88455200195312,60.212066650390625,80.42759704589844
2020-01-10,18.173078536987305,26.493968963623047,25.713773727416992,20.141921997070312,52.12834548950195,27.39717674255371,26.878536224365234,56.02848434448242,30.55927276611328,26.40693473815918,37.18785858154297,146.91000366210938,62.962890625,95.45714569091797,120.08641052246094,43.345497131347656,152.609375,38.92436218261719,31.578964233398438,47.6313362121582,102.55516815185547,119.18820190429688,240.0373077392578,94.38385772705078,16.889999389648438,114.93370819091797,68.16000366210938,99.27999877929688,26.271400451660156,51.89889907836914,23.059223175048828,27.296100616455078,74.91516876220703,44.74950408935547,53.14258575439453,31.35545539855957,26.507776260375977,92.91165161132812,59.885005950927734,79.67273712158203
2020-01-13,18.316238403320312,26.635225296020508,25.78289794921875,20.487947463989258,52.42612075805664,27.870466232299805,26.950469970703125,57.27970886230469,30.823453903198242,25.775768280029297,36.060401916503906,145.82000732421875,62.962890625,95.34561920166016,120.76537322998047,43.73945617675781,153.5996551513672,39.19314956665039,31.69473648071289,47.87397003173828,102.30816650390625,120.30007934570312,237.830078125,95.16714477539062,16.780000686645508,114.58503723144531,67.76000213623047,97.5999984741211,26.610923767089844,52.388160705566406,23.066926956176758,27.482881546020508,75.53077697753906,45.309165954589844,53.49031448364258,31.73685646057129,26.66830062866211,92.58627319335938,60.07461166381836,78.54045104980469
2020-01-14,18.427581787109375,26.652881622314453,25.765621185302734,20.447711944580078,52.44363784790039,27.837133407592773,27.04637908935547,57.09203338623047,30.922527313232422,26.230579376220703,36.92417526245117,145.69000244140625,62.95576858520508,95.5343246459961,120.95935821533203,43.58572006225586,154.1642608642578,39.251949310302734,31.632404327392578,47.95762634277344,102.4356460571289,120.06648254394531,238.38189697265625,95.02891540527344,16.6200008392334,115.17445373535156,67.4000015258789,98.23999786376953,26.50068473815918,52.25643539428711,23.07078742980957,27.42951202392578,75.53983306884766,45.095741271972656,53.50727844238281,31.582674026489258,26.746505737304688,93.1466293334961,60.05564498901367,79.39826202392578
2020-01-15,18.51506805419922,26.794137954711914,25.687849044799805,20.391387939453125,52.25096130371094,27.503833770751953,27.04637908935547,56.457481384277344,30.21583366394043,26.722518920898438,37.678836822509766,146.5399932861328,62.970035552978516,95.77462768554688,120.9858169555664,43.75867462158203,154.9046630859375,38.74797058105469,31.676929473876953,47.355228424072266,102.65878295898438,121.0849609375,233.2316436767578,95.31459045410156,16.809999465942383,115.93824005126953,65.72000122070312,97.44000244140625,26.681476593017578,52.510475158691406,22.901147842407227,27.278310775756836,75.65753936767578,45.147918701171875,53.8889274597168,31.801769256591797,27.121076583862305,93.95105743408203,59.918182373046875,78.47181701660156
