Date,z_score,spread_change,spread_vol_20,spread_ret,adf_p_252,hurst_252,adf_stationary,hurst_mr,regime_score
2020-12-31,0.5873907717391811,-0.012338411798838322,0.01009079007852754,-0.01233841179883876,0.04519806509684293,0.3498382435124287,1,1,2
2021-01-04,0.9385301476085827,0.022494826794964062,0.00919607722584658,0.02249482679496472,0.03762266799302136,0.34874017037292204,1,1,2
2021-01-05,0.9346220982369096,0.00021393807922009955,0.009471772928975677,0.00021393807922008345,0.035420706511557695,0.34854591917679084,1,1,2
2021-01-06,0.43040426532715315,-0.03138103600814457,0.010278934042799438,-0.03138103600814464,0.03153641561722578,0.34839557426842116,1,1,2
2021-01-07,0.6517609762042363,0.014235461081764988,0.010380425751196517,0.014235461081764999,0.020326875212463954,0.3473545423998086,1,1,2
2021-01-08,0.5508890127021097,-0.006011048947592634,0.01073278254990267,-0.006011048947592981,0.01744397283881257,0.34702855520268533,1,1,2
2021-01-11,0.6040154757496778,0.003669445347743938,0.01090469855353233,0.0036694453477441186,0.024555291487340078,0.3465811041198972,1,1,2
2021-01-12,0.6571431876483191,0.0036853890334418438,0.010952477426786811,0.0036853890334419687,0.023918410451089896,0.34609162049294606,1,1,2
2021-01-13,0.27242732787828877,-0.023792518624579984,0.012631472025401495,-0.023792518624579893,0.02193594164276469,0.345883066203931,1,1,2
2021-01-14,0.2629755863036506,-0.00027872759672042946,0.013317480295252357,-0.0002787275967206654,0.02085766784732144,0.345131554346056,1,1,2
2021-01-15,-0.002421984873105314,-0.01622449409802318,0.0164243248794442,-0.01622449409802368,0.01968506142597496,0.34407305944347805,1,1,2
2021-01-19,0.0011563705568525511,0.0005639986633561023,0.018742954254333775,0.0005639986633562107,0.01314733574145755,0.3425375097803168,1,1,2
2021-01-20,-0.09961040167929955,-0.005853529343768038,0.020918528589415585,-0.005853529343767516,0.012451316711046625,0.3410613832637051,1,1,2
2021-01-21,-0.03582361570383244,0.004321983969904686,0.02188451151791509,0.004321983969904164,0.008853656564852807,0.33932417950184596,1,1,2
2021-01-22,-0.11652762768263049,-0.00448342540234048,0.023022199182481093,-0.004483425402340519,0.027008907582065277,0.33769079890436976,1,1,2
2021-01-25,-0.38922652139204317,-0.016022952843632865,0.02478169547503084,-0.01602295284363271,0.019969014034417525,0.3352273485096506,1,1,2
2021-01-26,-0.032152666996499,0.02206041935909475,0.024531064318889392,0.02206041935909449,0.003157311343295444,0.33162811107248846,1,1,2
2021-01-27,0.27273852904261936,0.018687650151143487,0.023325466144689118,0.018687650151144042,0.001562768706978379,0.32834663190536284,1,1,2
2021-01-28,0.06613047058306681,-0.011751095522823718,0.022301482938670587,-0.01175109552282386,0.001220200491151626,0.3241253523694297,1,1,2
2021-01-29,-0.17774537955817282,-0.013710441176373322,0.0221215788433889,-0.013710441176373121,0.00045518774471456054,0.3198555504611499,1,1,2
2021-02-01,-0.2820608575349899,-0.005361990968077102,0.022646348070016094,-0.005361990968076994,0.0004888027648554979,0.3157356980274718,1,1,2
2021-02-02,-0.3644778615632775,-0.003955642737938803,0.02141650830036458,-0.003955642737939424,0.00037840106303023587,0.3114776420515829,1,1,2
2021-02-03,-0.27452312082662367,0.005708051512973711,0.01908672451253723,0.005708051512974398,0.000762299119528848,0.3072441180861795,1,1,2
2021-02-04,-0.33779350410489944,-0.0029302153279768817,0.019186386424519464,-0.0029302153279774437,0.0013955218404994028,0.3039557196312307,1,1,2
2021-02-05,-0.307123331872151,0.0023083453738061976,0.01785718687328204,0.0023083453738062133,0.00037125211371961606,0.30093231641644835,1,1,2
2021-02-08,-0.06316281779215113,0.013910500788003155,0.016466835494364934,0.013910500788002897,0.00021773500917367065,0.298096684873547,1,1,2
2021-02-09,-0.12377583558993117,-0.0027733242205094655,0.01432233377755598,-0.0027733242205087807,4.028147633919503e-05,0.2953722404291673,1,1,2
2021-02-10,-0.2509101796713094,-0.006225463776981854,0.010823399821207662,-0.006225463776982056,2.0249879331574534e-05,0.2927826335432393,1,1,2
2021-02-11,-0.20567100534451757,0.0030304285061442116,0.009909170730524301,0.003030428506143887,9.73099490528288e-06,0.28983990162852236,1,1,2
2021-02-12,-0.005529662235895262,0.011095045569813777,0.009259243671486183,0.011095045569814405,5.088320859109722e-05,0.2868298113125471,1,1,2
2021-02-16,0.2343447485761249,0.012872709222748746,0.010786897838143083,0.012872709222748384,3.2522718514205136e-05,0.2828861376117716,1,1,2
2021-02-17,0.27716371552254565,0.002597780135761063,0.01228847828174103,0.0025977801357609086,5.210711585676639e-05,0.27797165533606855,1,1,2
2021-02-18,0.09839846896588203,-0.008392991428409324,0.01279541451489056,-0.008392991428409043,0.00020948466387946344,0.2723551516179579,1,1,2
2021-02-19,0.2315139077494559,0.006956506967553011,0.01375802537386669,0.006956506967552692,0.00046575668953594836,0.26800347585724177,1,1,2
2021-02-22,0.7877668737443534,0.026730735787503512,0.017363975919793766,0.02673073578750342,0.00816201960352347,0.2634140777994246,1,1,2
2021-02-23,0.585011311364693,-0.009431089232308842,0.018059305746232546,-0.009431089232308818,0.0010198489165325756,0.258073147927525,1,1,2
2021-02-24,0.9080469523795637,0.014769517702688084,0.02088825622033581,0.014769517702688298,0.004065384741497747,0.25330233314098166,1,1,2
2021-02-25,0.9283693110542754,0.0008483170947028995,0.023213653866276718,0.0008483170947029151,0.013373707788474342,0.2489805638495991,1,1,2
2021-02-26,1.1123559910691305,0.008123455342307295,0.025945940566385113,0.008123455342307444,0.024980598305144472,0.24535043625525282,1,1,2
2021-03-01,0.6817346795735599,-0.018532090298087667,0.026349838874279892,-0.01853209029808753,0.002246449189093662,0.24247851522972405,1,1,2
2021-03-02,0.7309456921130788,0.002230835084075622,0.02630093359926673,0.0022308350840750234,0.021230261367245866,0.24183425101195602,1,1,2
2021-03-03,0.9849765249112789,0.010772917155203565,0.02625347032212241,0.010772917155204152,0.008584343814741607,0.24048143996426047,1,1,2
2021-03-04,0.9295637965681596,-0.0025137345964312274,0.02596288409893372,-0.0025137345964318892,0.0018244128795111268,0.23992013604405868,1,1,2
2021-03-05,0.9520169684409936,0.0006686543699814251,0.025008135614692607,0.000668654369981557,0.00065234471404136,0.24025095916841827,1,1,2
2021-03-08,0.599176401716868,-0.013960098072227645,0.023214680362923793,-0.013960098072227131,8.282002768981871e-05,0.2428236247746849,1,1,2
2021-03-09,0.11941156044969177,-0.018097431947006193,0.022277528719078284,-0.01809743194700641,0.00014572827604747998,0.24768956225799935,1,1,2
2021-03-10,0.21883598167450913,0.00408123658830295,0.020927712364654644,0.00408123658830299,0.0025564525395056444,0.2529719646169823,1,1,2
2021-03-11,0.2368844340446382,0.000957947959196126,0.018684643771945997,0.0009579479591960713,0.0009615454333856317,0.260216506058152,1,1,2
2021-03-12,-0.02092116054998726,-0.009311893169877905,0.016761690712500773,-0.009311893169878245,0.00030267017757003235,0.2685024553477913,1,1,2
2021-03-15,-0.3582872020823046,-0.01228240996213703,0.01684717194010535,-0.012282409962137069,0.0003347536588524477,0.2749182884978895,1,1,2
2021-03-16,-0.36483417312064775,-0.0004508650465959718,0.01785602967941093,-0.0004508650465960126,0.00016453450257511307,0.27855065920146016,1,1,2
2021-03-17,0.1782822618462632,0.01995321579419329,0.0177470427498271,0.01995321579419334,0.00020838908449032206,0.28012942550555026,1,1,2
2021-03-18,0.19941018168800756,0.0007667624285385699,0.017154046315862616,0.000766762428539282,0.0006288853910603685,0.2871684532350365,1,1,2
2021-03-19,0.20224326413193006,-0.00010813772151241352,0.016944347943253783,-0.00010813772151239487,0.0011169020634866364,0.29288540579505157,1,1,2
2021-03-22,0.5584082783969311,0.012388487197684483,0.01675523621225063,0.012388487197684216,0.00016352388353032895,0.29730914399383684,1,1,2
2021-03-23,0.1536276737595487,-0.015183774172717435,0.016990704468325183,-0.015183774172717646,0.08531424816974631,0.3045836015637177,0,1,1
2021-03-24,0.035841690586956895,-0.004306225927892093,0.01684502828586953,-0.0043062259278915825,0.0714658430003182,0.32394764446872226,0,1,1
