Date,z_score,spread_change,spread_vol_20,spread_ret,adf_p_252,hurst_252,adf_stationary,hurst_mr,regime_score,y
2020-12-31,0.4691008630524711,0.0173325165510056,0.0100399989973552,0.0173325165510053,0.1450835336356907,0.2815735569025036,0,1,1,1
2021-01-04,-0.0052262564612641,-0.02717516637852,0.0086569017190698,-0.02717516637852,0.1619263478843464,0.2797641795297784,0,1,1,0
2021-01-05,-0.2106011918916916,-0.011566758791305,0.0096735255458569,-0.0115667587913049,0.164605563105157,0.2792378695573703,0,1,1,0
2021-01-06,0.0896046515382611,0.0175862545698626,0.0092227099139832,0.0175862545698626,0.1729388508727329,0.2789407588103367,0,1,1,0
2021-01-07,-0.2067451935274263,-0.0167109844067652,0.0097796022963266,-0.0167109844067651,0.182027063890155,0.2785823755128511,0,1,1,0
2021-01-08,-0.0146982009377998,0.0112366154010423,0.0097401537163159,0.0112366154010423,0.1842761146611898,0.2790723618017631,0,1,1,0
2021-01-11,-0.2496595712480142,-0.0131694476877322,0.0102688050046898,-0.0131694476877324,0.1868206519867906,0.2794457172366755,0,1,1,1
2021-01-12,-0.5215385263694418,-0.0153296093314008,0.0125092051680802,-0.0153296093314007,0.1897967608572223,0.2802751322499237,0,1,1,1
2021-01-13,-0.1252485064291678,0.0227010539016485,0.0126327072322671,0.0227010539016486,0.1960535536093955,0.2815044244830991,0,1,1,1
2021-01-14,-0.3031559686162828,-0.0099984860887607,0.0126129762025065,-0.0099984860887606,0.192707199522036,0.2827277795519882,0,1,1,1
2021-01-15,-0.0214686181474992,0.0160749341764061,0.0124501952942036,0.016074934176406,0.1917478636396267,0.2839597005870963,0,1,1,0
2021-01-19,-0.1466581962142135,-0.0070427198463187,0.0119508435873684,-0.007042719846319,0.1924796559443362,0.2846899865553652,0,1,1,0
2021-01-20,-0.0250932408642267,0.006895533166876,0.0116969691353009,0.0068955331668763,0.1941936249521419,0.2854565515641016,0,1,1,0
2021-01-21,-0.0178452027683086,0.0003955941871272,0.0117010454129453,0.0003955941871271,0.259858343839526,0.2855316445632549,0,1,1,0
2021-01-22,-0.0057794429117963,0.000623680257175,0.0116984465761449,0.0006236802571748,0.2542076587840932,0.2853325116820269,0,1,1,0
2021-01-25,0.3549263389167602,0.0204188762735246,0.0126943199738659,0.0204188762735249,0.2515288257177137,0.2846484137821567,0,1,1,1
2021-01-26,0.2644936462615175,-0.0051623738288242,0.0132416446246944,-0.0051623738288243,0.2452350423411526,0.2829107322011317,0,1,1,1
2021-01-27,-0.2533401522127828,-0.0294668217535671,0.0134069614764364,-0.0294668217535673,0.2407235783212357,0.281216953248769,0,1,1,1
2021-01-28,-0.0359862964922501,0.0121596010183635,0.0131508774776283,0.0121596010183634,0.1713703710983274,0.2798618587106931,0,1,1,0
2021-01-29,-0.0093218324027003,0.0013397209288585,0.012921612482742,0.0013397209288586,0.1562690407035172,0.2780837558805875,0,1,1,0
2021-02-01,0.01491780566779,0.0012045648953229,0.0111132652383688,0.0012045648953232,0.1426046556870381,0.2759165131315045,0,1,1,0
2021-02-02,0.1448466438286173,0.0071582886252015,0.0114149768028665,0.0071582886252016,0.1556524543885021,0.2737544949979228,0,1,1,1
2021-02-03,-0.0820399316114094,-0.0129476140988993,0.0112005725085577,-0.0129476140988994,0.1489669108094027,0.2713510805248166,0,1,1,0
2021-02-04,0.0470559890455959,0.0071461818098472,0.0111253922301381,0.0071461818098471,0.1399390145347066,0.2695424850082332,0,1,1,0
2021-02-05,0.1347106991231449,0.0048103200072868,0.0111327844524299,0.0048103200072866,0.1922058059409815,0.2680496017532644,0,1,1,0
2021-02-08,-0.2027761484409406,-0.0191508548130761,0.0113487592603342,-0.019150854813076,0.1884296706213549,0.2664748994830059,0,1,1,0
