Date,z_score,spread_change,spread_vol_20,spread_ret,adf_p_252,hurst_252,adf_stationary,hurst_mr,regime_score
2020-12-31,-0.9827181296905826,-0.014985270689107821,0.01205403937574094,-0.01498527068910903,0.005523477493570268,0.18956433444484985,1,1,2
2021-01-04,-0.6266665536927821,0.01856312352837186,0.012097867745632932,0.018563123528373394,0.007261580003390716,0.18911992245209655,1,1,2
2021-01-05,-0.5515852173536006,0.0039011802859665323,0.01175861009079608,0.0039011802859644854,0.006030300078696711,0.18917656796638935,1,1,2
2021-01-06,-0.27271558802212287,0.014598988064724594,0.01217538524686289,0.014598988064725114,0.006211750286960415,0.18915296093356665,1,1,2
2021-01-07,-0.34847845460256976,-0.003953495601795254,0.012453778536100081,-0.003953495601795217,0.0050615142154500185,0.18916418976489946,1,1,2
2021-01-08,-0.3488455585554959,-2.446557250124215e-05,0.01267089251479314,-2.4465572501243885e-05,0.005937445333229586,0.1889041260282104,1,1,2
2021-01-11,-0.3532395926920665,-0.00021885950621225447,0.012500371388126024,-0.00021885950621114425,0.005848431209053859,0.18809489016182118,1,1,2
2021-01-12,-0.3805052294130161,-0.0014306891552315903,0.011279393630853165,-0.0014306891552322873,0.006353164197536263,0.1861946674182922,1,1,2
2021-01-13,-0.5675400125156365,-0.009815376660647246,0.010119819715799724,-0.009815376660648177,0.0055069109426299084,0.18334397240221456,1,1,2
2021-01-14,-0.48296293859285466,0.004399327317845092,0.009529620392449627,0.004399327317846421,0.00624421255601356,0.17976798723010776,1,1,2
2021-01-15,-0.8081181096067139,-0.01710155961883153,0.009998961306119028,-0.017101559618831294,0.005402408850957746,0.17611391621039194,1,1,2
2021-01-19,-0.7536623253348541,0.0027174483709977437,0.009799172078153088,0.0027174483709962467,0.007003152513531856,0.17227160201300357,1,1,2
2021-01-20,-0.7168539391143408,0.0017833624299701256,0.00969177695322619,0.0017833624299713512,0.00666121506747871,0.1686227125366769,1,1,2
2021-01-21,-0.5472483193239759,0.008823176965643498,0.009700299868894067,0.008823176965644235,0.007245243897514537,0.16523500967716628,1,1,2
2021-01-22,-0.5076024615071194,0.002012667473229257,0.009610118896842124,0.002012667473227702,0.006330051449418353,0.16171239664896636,1,1,2
2021-01-25,-0.7650303706711825,-0.013693744682749198,0.00980990284848657,-0.01369374468274846,0.006548475987958164,0.15830422122803967,1,1,2
2021-01-26,-0.4456573184581069,0.016658489149188327,0.009638578053472936,0.016658489149188292,0.0069439846081071135,0.1552542693240305,1,1,2
2021-01-27,-0.7914001317715149,-0.018266380252274672,0.010021774394744574,-0.01826638025227578,0.006106821529569996,0.15215347235565294,1,1,2
2021-01-28,-0.820199697234891,-0.0016502371712956432,0.010474922977944825,-0.0016502371712937697,0.007558995342281628,0.14766480309784205,1,1,2
2021-01-29,-0.9208913145406631,-0.005433407047521044,0.01120907333200848,-0.005433407047521559,0.0073718104122089565,0.14318638785996166,1,1,2
2021-02-01,-0.9200590151779646,-6.904064486157324e-05,0.011049206199033327,-6.904064486153334e-05,0.007015830930120178,0.13833602588747784,1,1,2
2021-02-02,-0.7928402824320404,0.006626265465431658,0.011333881335819817,0.006626265465430596,0.006551148837753589,0.13344634299977282,1,1,2
2021-02-03,-0.7041004776533611,0.004636581529847916,0.011386780725409431,0.0046365815298486735,0.006686481023831666,0.12895249927809604,1,1,2
2021-02-04,-0.8115285732792398,-0.005739437479025611,0.010794930750745068,-0.005739437479025539,0.006807998620524034,0.1246298245450131,1,1,2
2021-02-05,-0.7980469695422027,0.0006394823494737523,0.010304554868648709,0.0006394823494743481,0.006657048280936492,0.12043470569792436,1,1,2
2021-02-08,-0.9345650627051405,-0.007307065265312218,0.010022006557251328,-0.007307065265313217,0.006405740120946059,0.11650656190768027,1,1,2
2021-02-09,-0.804691068973575,0.0068451172296306595,0.009123848351851779,0.0068451172296308885,0.006497521851935066,0.11253598061200151,1,1,2
2021-02-10,-0.8939004895174008,-0.0048086790216377295,0.008312921929831216,-0.0048086790216372785,0.005732738475402226,0.10859063601004973,1,1,2
2021-02-11,-0.7293711322463041,0.008677143500960938,0.007976480215345399,0.00867714350095984,0.005307107331724511,0.10516348311201075,1,1,2
2021-02-12,-0.7880848061151908,-0.0030975008653904013,0.007184150939709541,-0.003097500865389539,0.005957772475458852,0.10198548929948839,1,1,2
2021-02-16,-0.6786065567227265,0.005830281189590281,0.007226130518800193,0.005830281189590307,0.0038454226230989026,0.09851851239643639,1,1,2
2021-02-17,-0.9352335591030243,-0.013606569431679816,0.007558227131549836,-0.013606569431679785,0.0033126671735054358,0.09528782864410304,1,1,2
2021-02-18,-0.8023988353016039,0.006990843368456012,0.007532296171127205,0.00699084336845685,0.00379675367622033,0.09207785305273396,1,1,2
2021-02-19,-0.7520818110744719,0.0027112876827501964,0.006932509036319273,0.002711287682748194,0.0027593431495781646,0.0896702163324971,1,1,2
2021-02-22,-0.6030327364956127,0.00799965834590921,0.006341632652442595,0.007999658345909856,0.028807054029115486,0.08698268902937316,1,1,2
2021-02-23,-0.9025792071392941,-0.015721661599554793,0.006477867774917306,-0.01572166159955392,0.061220314889390975,0.08432318236538133,0,1,1
2021-02-24,-0.7619321265015158,0.007581986866243895,0.0047576354128839255,0.00758198686624364,0.09732857772332659,0.08140111630451896,0,1,1
2021-02-25,-0.48386400464391666,0.014905380233106058,0.006154909891199547,0.014905380233104348,0.13095809158237348,0.07882727550924877,0,1,1
2021-02-26,-0.45281157628682234,0.001789653258114754,0.007398272679010731,0.0017896532581158954,0.1452032185212646,0.0762842067297331,0,1,1
2021-03-01,-0.8418469465080592,-0.020150473895499843,0.007222231181578796,-0.02015047389549912,0.1077178625135255,0.07504556299097966,0,1,1
2021-03-02,-0.6957853071423609,0.007985677853085349,0.007067215608417336,0.007985677853084306,0.06285348167611134,0.07315796250404948,0,1,1
2021-03-03,-0.5884270770850545,0.005944171449225877,0.007420566955071993,0.005944171449226271,0.04656936585656125,0.07159014431354767,1,1,2
2021-03-04,-0.5613307481527564,0.0018485212020902253,0.007852396867186603,0.0018485212020903866,0.06291285205561041,0.0709298805889247,0,1,1
2021-03-05,-0.7788322962370925,-0.010826092609775628,0.0077984065593712,-0.010826092609775021,0.15408183352098354,0.07144172551808793,0,1,1
2021-03-08,-0.1512279451660663,0.03243013450345167,0.010606685756353753,0.03243013450345042,0.19770948317788445,0.07378707646090454,0,1,1
2021-03-09,-0.01459945751957634,0.0070564693442847215,0.013140650678572705,0.007056469344284911,0.15063166852219634,0.07739393433442637,0,1,1
2021-03-10,-0.027631492600087255,-0.0005379242248686467,0.015091087368430565,-0.0005379242248686779,0.11897476325704137,0.0817671138397863,0,1,1
2021-03-11,-0.12824484571338374,-0.005070498959808489,0.015830437598103254,-0.005070498959808279,0.08516290519833669,0.0878397871125739,0,1,1
2021-03-12,-0.016428821422452014,0.005837270377391235,0.01713910252589795,0.005837270377391762,0.09410472355603139,0.09509768605743187,0,1,1
2021-03-15,-0.11862615115501551,-0.0048847494005617165,0.017638749834259466,-0.004884749400561829,0.061705602435211435,0.10374961776915928,0,1,1
2021-03-16,0.04323931640140443,0.008348284609651202,0.018749698043561146,0.008348284609651788,0.10596058709005884,0.11873209875179763,0,1,1
2021-03-17,0.24579497459223254,0.010416798503769087,0.019675121292758186,0.010416798503769073,0.0513095660836528,0.1330531517264654,0,1,1
2021-03-18,0.6248594207781267,0.019166964316712054,0.022506331138772314,0.019166964316711853,0.11602333013136606,0.15202423793541445,0,1,1
2021-03-19,0.29566014634371046,-0.017246571764054863,0.023052499861846973,-0.01724657176405474,0.12214066203901136,0.16565107244715052,0,1,1
2021-03-22,0.23353220237487066,-0.00418884279629772,0.023409143782443555,-0.004188842796298289,0.051857780509121515,0.1701549522449557,0,1,1
2021-03-23,-0.04194773466938525,-0.014327154090109318,0.02193614950186292,-0.014327154090109573,0.016613851092777077,0.16703843024961476,1,1,2
2021-03-24,-0.30880604154405766,-0.012411232751022183,0.020779753118357096,-0.012411232751020681,0.03260781399877382,0.16632675084727563,1,1,2
2021-03-25,-0.3493163085330806,-0.001987971643441,0.020488713492906183,-0.0019879716434427833,0.007738263183052851,0.17151332032653743,1,1,2
2021-03-26,-0.3098236450350586,0.001359064987658698,0.020233073783804862,0.0013590649876591941,0.02943476770154911,0.1767071944053287,1,1,2
2021-03-29,-0.34836987005330955,-0.0017742628471300037,0.018527134807224246,-0.001774262847130578,0.015567430606070843,0.17881332053006943,1,1,2
