Date,z_score,spread_change,spread_vol_20,spread_ret,adf_p_252,hurst_252,adf_stationary,hurst_mr,regime_score,y
2020-12-31,-0.7084880649306775,-0.0614236913585237,0.0473560584194602,-0.0614236913585243,0.2478856893727616,0.2975655546274631,0,1,1,1
2021-01-04,-0.4812503290877297,0.0920242183616526,0.0437650603904323,0.092024218361653,0.2801368364303249,0.298255270919286,0,1,1,1
2021-01-05,-0.358558308197024,0.0477669187086675,0.0468716038090112,0.0477669187086667,0.2850968936918441,0.2996790501593997,0,1,1,1
2021-01-06,-0.6032708432422517,-0.102139756396296,0.0437036772446335,-0.1021397563962948,0.2964618496785549,0.3013814298617812,0,1,1,1
2021-01-07,-0.4242807440289132,0.0697070629600151,0.0420667680814609,0.0697070629600142,0.3161504415610945,0.3027588196052985,0,1,1,1
2021-01-08,-0.4449098828381082,-0.0108004168604303,0.0396393746583692,-0.0108004168604304,0.3113791773134631,0.3046276469196144,0,1,1,0
2021-01-11,-0.3473622920888959,0.0359567454086757,0.0415001356059064,0.0359567454086759,0.3124398615971387,0.3062921145361685,0,1,1,0
2021-01-12,-0.2347909614898759,0.0413542828174886,0.0458200006254923,0.041354282817489,0.3359652862628396,0.3079879807676453,0,1,1,0
2021-01-13,-0.4524225328174708,-0.0871636326309914,0.0456548462275863,-0.0871636326309909,0.3248796866651032,0.3097402885062381,0,1,1,1
2021-01-14,-0.3708451971681293,0.0289597632519651,0.040715159755204,0.0289597632519652,0.3507130568792725,0.3112532721921585,0,1,1,0
2021-01-15,-0.5412233416102291,-0.0675819626024498,0.0407479714198213,-0.0675819626024513,0.3272881324248469,0.3125783617779801,0,1,1,0
2021-01-19,-0.4608717728667511,0.0281806737949601,0.0386184836646975,0.0281806737949614,0.3260458979732963,0.313494114117967,0,1,1,0
2021-01-20,-0.5196562650471241,-0.0245175208557526,0.0395686901877176,-0.0245175208557539,0.3187441258758024,0.3145979139838667,0,1,1,1
2021-01-21,-0.4474790791896462,0.0247971550840571,0.0394776484854858,0.0247971550840588,0.3259749668993098,0.3153173582619043,0,1,1,1
2021-01-22,-0.4981930762582521,-0.0211819642449562,0.0400925939286148,-0.0211819642449558,0.322324203400859,0.315918570440795,0,1,1,1
2021-01-25,-0.697418373582732,-0.0764027198547072,0.0455124686274292,-0.0764027198547082,0.3315504367766532,0.3159149487036682,0,1,1,1
2021-01-26,-0.5839119841838517,0.0398161833929595,0.0470952393605708,0.0398161833929584,0.3152910171513875,0.3149364134834223,0,1,1,1
2021-01-27,-0.2516618265157703,0.1205233089616477,0.0492255904650166,0.1205233089616496,0.3347725666020393,0.3141273232905338,0,1,1,0
2021-01-28,-0.4064276226790942,-0.059014101851428,0.0492269318991093,-0.0590141018514288,0.3154547752665423,0.3136351406281493,0,1,1,1
2021-01-29,-0.3414393524020262,0.0218029091309563,0.049326608609517,0.0218029091309566,0.3434061852159645,0.3128813440417624,0,1,1,0
2021-02-01,-0.3212843434999087,0.0053704378150545,0.0458276069219408,0.0053704378150546,0.3017095891433996,0.3118355217230615,0,1,1,1
2021-02-02,-0.3607552178794252,-0.0162720993594724,0.0458220428487055,-0.0162720993594735,0.3103949796949384,0.3108058391112645,0,1,1,1
2021-02-03,-0.2711440297218243,0.0305733495990985,0.0448714863536747,0.0305733495990999,0.3026918772341402,0.3095938385996254,0,1,1,1
2021-02-04,-0.3321744798659788,-0.024080018969725,0.0435318989297676,-0.0240800189697263,0.2966150917457017,0.3087110173497244,0,1,1,1
2021-02-05,-0.3636747835331733,-0.0133765004895103,0.0432943329018638,-0.0133765004895102,0.2537661807013063,0.3078906403841259,0,1,1,1
2021-02-08,-0.2102101043447005,0.0531794062474428,0.0447254542554758,0.0531794062474422,0.2513237561950365,0.3071037325634935,0,1,1,1
2021-02-09,-0.2058536187932795,-0.0003259535938173,0.0449755319541987,-0.0003259535938158,0.1638206979299077,0.3065135789610334,0,1,1,1
2021-02-10,-0.2409684609289291,-0.0144134187356232,0.0411937975511135,-0.0144134187356231,0.121012074360807,0.3058205015718061,0,1,1,1
2021-02-11,-0.1880377761049811,0.0168913090893685,0.042875082501569,0.0168913090893675,0.1781230244157753,0.3050427116788126,0,1,1,0
2021-02-12,-0.0237288669681181,0.0565021856982532,0.0488556599166465,0.0565021856982537,0.1512588289042652,0.3043870154618975,0,1,1,0
2021-02-16,0.1554114874847141,0.0617083088449774,0.0599320555032562,0.0617083088449763,0.206740753990032,0.3037778534550444,0,1,1,0
2021-02-17,0.1801826544874421,0.0072985819629476,0.0695084506692223,0.0072985819629486,0.1906623050982137,0.3031039055497139,0,1,1,0
2021-02-18,0.0680352870694222,-0.0412365618482457,0.0721242308181572,-0.0412365618482464,0.2822721093467153,0.3026939017377024,0,1,1,0
2021-02-19,0.217889365668136,0.0507830286350614,0.0788886492116811,0.0507830286350628,0.2956469330400393,0.3019609529805732,0,1,1,0
2021-02-22,0.5817218008147375,0.1255852498529126,0.0969738226798826,0.1255852498529124,0.1826956468248243,0.3015005175351926,0,1,1,0
2021-02-23,0.5065787338219951,-0.027860377918472,0.100540701485835,-0.0278603779184729,0.1498084402381825,0.301189275881987,0,1,1,0
2021-02-24,0.7201926978363902,0.0722209731200358,0.1116420083252029,0.0722209731200366,0.0428033790086276,0.3012137096326951,1,1,2,0
2021-02-25,0.8374336797742467,0.038481203192223,0.1286334200646517,0.0384812031922227,0.091428002585773,0.3010667749263219,0,1,1,0
2021-02-26,1.0047002553001725,0.0539689877519204,0.1445235343744016,0.0539689877519218,0.0500816469515768,0.3010019587513025,0,1,1,1
2021-03-01,0.690143565374853,-0.112674924932449,0.1474696310613573,-0.112674924932451,0.0019942899963969,0.2996757173901423,1,1,2,0
2021-03-02,0.6989881624871597,3.826422238084603e-05,0.1488295373690889,3.826422238050256e-05,0.0510135719692485,0.2982160316405444,0,1,1,1
2021-03-03,0.9407831880466068,0.0779844702386185,0.1523830749816145,0.0779844702386195,0.023951295462147,0.2978922997323044,1,1,2,1
2021-03-04,1.0908162407247288,0.049557856602469,0.1587518300337055,0.0495578566024686,0.0007000955854363,0.2977584147305221,1,1,2,1
2021-03-05,0.9770080823523783,-0.0394007795936133,0.157493097274077,-0.0394007795936124,0.0100930768209817,0.3008217781462539,1,1,2,1
2021-03-08,0.7339277148856526,-0.0823286199826647,0.1484480208202557,-0.0823286199826656,0.0547937639760238,0.3040604428257152,0,1,1,1
2021-03-09,0.5382759874242595,-0.0662692206823223,0.1404553699451989,-0.0662692206823227,0.0307460657882133,0.3089809897728178,1,1,2,1
2021-03-10,0.4971264976585984,-0.0152581360393337,0.1309708672335036,-0.0152581360393322,0.0352601133845411,0.3167415378210689,1,1,2,1
2021-03-11,0.5989437815586802,0.0307858877913584,0.118041753435843,0.0307858877913574,0.0841172319438377,0.32533006146352,0,1,1,1
2021-03-12,0.4235320491369118,-0.064001883971871,0.1053196415223326,-0.0640018839718717,0.0024040380140062,0.3285032529872727,1,1,2,1
2021-03-15,0.2585315598276795,-0.0575727679488764,0.1002570350149885,-0.0575727679488758,0.0018213526125448,0.3232778508448576,1,1,2,0
2021-03-16,0.2325685640071338,-0.0152788461226567,0.1013499314268069,-0.0152788461226571,0.0002040405082776,0.3199383521153936,1,1,2,1
2021-03-17,0.4750467283516165,0.0713221446107663,0.0987952364432159,0.0713221446107683,0.0025220832456947,0.3126755503153824,1,1,2,1
2021-03-18,0.2779831662080623,-0.0633904936294875,0.0965857204979291,-0.0633904936294894,0.002222501352199,0.3170941611249719,1,1,2,1
2021-03-19,0.3649163878384957,0.0196829750272762,0.0968710693078609,0.0196829750272773,0.0219318251873124,0.3239600662952825,1,1,2,1
2021-03-22,0.4157861467329841,0.0048530244010969,0.1002466280142577,0.0048530244010958,0.0284929947582724,0.3198186292481579,1,1,2,1
2021-03-23,0.0050485209001069,-0.1223297689826878,0.112932686075649,-0.1223297689826875,0.1353119326418,0.3130631896966517,0,1,1,0
2021-03-24,0.2197251014669259,0.0500903065512652,0.1178178570659111,0.0500903065512649,0.0387349779126261,0.3125817962446697,1,1,2,0
2021-03-25,-0.1006156317401884,-0.0847919785943194,0.1260555410587056,-0.0847919785943194,0.0021597268409202,0.3098614148894813,1,1,2,1
2021-03-26,0.0159538142737096,0.0258387989851893,0.1249721095529451,0.0258387989851903,0.0003777405548173,0.3070587436344332,1,1,2,0
2021-03-29,-0.1295352320960379,-0.0371230630841417,0.1315607838452096,-0.0371230630841424,4.6946191108641067e-07,0.304567924565053,1,1,2,0
2021-03-30,-0.0332165039000725,0.0215514407215877,0.1344223974518919,0.0215514407215865,0.0002893186887786,0.3033690525882536,1,1,2,0
2021-03-31,-0.2269556611110255,-0.0477888480962391,0.1329903224770266,-0.0477888480962377,0.0003686132930592,0.3130500513014163,1,1,2,0
2021-04-01,-0.0612473295402602,0.0358975656937197,0.1197901267795612,0.0358975656937195,0.0052392376990794,0.3166431104317754,1,1,2,0
2021-04-05,-0.4302574595543599,-0.0854481146049117,0.1125267905769523,-0.0854481146049132,0.001169360125986,0.3140702245495898,1,1,2,1
2021-04-06,-0.4916046675141184,-0.0124884074701068,0.1109341859643086,-0.0124884074701055,1.3168353965584134e-06,0.3112771546846263,1,1,2,0
2021-04-07,-0.4430252673207738,0.0092913836141921,0.1111859354202513,0.0092913836141921,0.001676596483477,0.3197553474637024,1,1,2,0
2021-04-08,-0.4268062762708499,0.002380215783841,0.1099200868828775,0.0023802157838397,0.0013217794003797,0.323099773449376,1,1,2,0
2021-04-09,-0.4192274732764268,0.0002862593870585,0.1029166697593475,0.00028625938706,0.0087137167766974,0.3310818303114146,1,1,2,0
2021-04-12,-0.4010888860871762,0.0023436970926784,0.0991565636491717,0.0023436970926776,0.0200942966923587,0.3353349091031286,1,1,2,0
2021-04-13,-0.5986803992382778,-0.0392971157210197,0.1004425220813805,-0.039297115721018,0.0159693164955817,0.3379880857835564,1,1,2,0
2021-04-14,-0.4903257438383672,0.0196291762206382,0.0998031626285625,0.0196291762206381,0.0596391796154837,0.3437135792218169,0,1,1,0
2021-04-15,-0.7080896825097205,-0.042681066319659,0.0934521870171807,-0.0426810663196607,0.0590616660694766,0.3486515298952072,0,1,1,0
2021-04-16,-0.8984346305841876,-0.0372583563336359,0.0934267997944196,-0.0372583563336354,0.1240747053680188,0.3583793187109725,0,1,1,1
2021-04-19,-0.7576772866486442,0.0253527997973286,0.086424104530525,0.0253527997973288,0.1091873871507612,0.3710934239216068,0,1,1,1
2021-04-20,-1.1127985041376014,-0.0685581976062028,0.0806108944201774,-0.0685581976062035,0.1563112545780116,0.3809089897472841,0,1,1,1
2021-04-21,-1.0322427273924373,0.0139009369955029,0.0829195705832036,0.0139009369955043,0.2164680506001147,0.3977713924271095,0,1,1,1
2021-04-22,-0.8283742239887747,0.0389134387387297,0.0755228163321436,0.0389134387387292,0.2327340386633767,0.404428477949561,0,1,1,1
2021-04-23,-0.749171888177257,0.0146432208235047,0.0734510149240324,0.014643220823504,0.1958581544724991,0.4068756268952576,0,1,1,1
2021-04-26,-0.6339080785530384,0.021893114658626,0.0672651418641845,0.021893114658626,0.1206742351200113,0.4128001078117128,0,1,1,0
2021-04-27,-0.3666224160536405,0.0519828314453985,0.0633940806297069,0.0519828314453983,0.0942105514248571,0.4168863497313246,0,1,1,0
2021-04-28,-0.292798346478732,0.0156742431689451,0.0572775565793756,0.0156742431689458,0.0648612990625623,0.4207810826624988,0,1,1,1
2021-04-29,-0.4240554977831752,-0.0230718757038221,0.0543831669104293,-0.0230718757038218,0.1027112443008678,0.429569684361785,0,1,1,1
2021-04-30,-0.7315357344579303,-0.0567401286917395,0.046780053280506,-0.0567401286917395,0.180637739358784,0.4376650820119216,0,1,1,1
2021-05-03,-0.6379540200005508,0.0169295631694872,0.0457346520495435,0.0169295631694864,0.2196043201815822,0.4420986734275504,0,1,1,1
