Date,z_score,spread_change,spread_vol_20,spread_ret,adf_p_252,hurst_252,adf_stationary,hurst_mr,regime_score
2020-12-31,-0.1111592547413531,0.00041917010222691786,0.004617944099204242,0.00041917010222669083,0.00879493782445254,0.24913388653628885,1,1,2
2021-01-04,-0.0643441827469341,0.0008659604258207665,0.004651083139528536,0.000865960425821283,0.008269415098584521,0.24878981349627077,1,1,2
2021-01-05,-0.19390879016754495,-0.0031357853996283325,0.004500971961324088,-0.0031357853996283446,0.0068416842875115855,0.24838962738355763,1,1,2
2021-01-06,-0.13361544781109205,0.0011602469441092111,0.004513684101636507,0.001160246944108993,0.006427813035893047,0.24780168088573457,1,1,2
2021-01-07,-0.5279020583643653,-0.008891056420041288,0.004767124579412664,-0.008891056420041418,0.005613572386275004,0.24680249385835515,1,1,2
2021-01-08,-0.7434917787501197,-0.004834120838518974,0.0051037129563034885,-0.004834120838518825,0.00492777335801465,0.2448006960808315,1,1,2
2021-01-11,-0.7684641232638895,-0.0006321381362988099,0.005477807522875004,-0.0006321381362987015,0.005803479163273002,0.24174317347782567,1,1,2
2021-01-12,-0.8109849316445682,-0.001007842507885215,0.00582308940136022,-0.0010078425078851316,0.004342031212725864,0.23802439368635586,1,1,2
2021-01-13,-0.729022330036103,0.0016451870350202569,0.006019510232606383,0.0016451870350199546,0.00486225012545475,0.2337779735330114,1,1,2
2021-01-14,-0.626794649930936,0.0020358733243606153,0.006043100563157615,0.002035873324360737,0.004694495559410173,0.2290519635976645,1,1,2
2021-01-15,-0.4927925401411964,0.002658852927885036,0.0060494277774805075,0.002658852927884747,0.004717569164988132,0.22422736355735778,1,1,2
2021-01-19,-0.5593457439353352,-0.0014919565597750761,0.006115016983973485,-0.0014919565597750649,0.005106453960144382,0.21935749068979385,1,1,2
2021-01-20,-0.8416694921369859,-0.005879002577477088,0.006497544284563799,-0.005879002577477038,0.0041618741081901785,0.21455575105606164,1,1,2
2021-01-21,-0.9413892310975644,-0.002135199450865599,0.006947574442642165,-0.0021351994508655575,0.005427722017758994,0.21006563805097003,1,1,2
2021-01-22,-1.0382838857497738,-0.002080810014271517,0.0074917502259389535,-0.00208081001427149,0.005630284017619005,0.2052627880862615,1,1,2
2021-01-25,-1.0795638361154614,-0.0009673039494031421,0.008024258780477408,-0.0009673039494028325,0.006474210180312673,0.20079089158389118,1,1,2
2021-01-26,-0.9384030569906175,0.0026802816132418528,0.008206003183798632,0.0026802816132419265,0.0043076652824883465,0.19641508354871398,1,1,2
2021-01-27,-0.4047589829014178,0.010483413448078682,0.007890380352104195,0.01048341344807836,0.003690768512184149,0.19234680246165423,1,1,2
2021-01-28,-0.5686690611092308,-0.003355081645274094,0.007537140497435401,-0.003355081645273962,0.0028261187665810593,0.1862126202389056,1,1,2
2021-01-29,-0.40959420552075226,0.0029932434475496983,0.0070777322185532334,0.0029932434475495153,0.0023555901916702602,0.18009853483427038,1,1,2
2021-02-01,-0.7222380918384345,-0.006195232884211421,0.006518997144221034,-0.006195232884211269,0.002654399786241246,0.17422681813176738,1,1,2
2021-02-02,-0.9938599052092335,-0.005368499112880176,0.0059151304198630985,-0.005368499112880193,0.0023519023012481435,0.16832949692889515,1,1,2
2021-02-03,-0.8875368348966131,0.0019314363550195779,0.005336890587601471,0.0019314363550192166,0.00046879962456425204,0.16344944216211846,1,1,2
2021-02-04,-1.0005907915319712,-0.00225106668097963,0.004451321613498808,-0.002251066680979334,4.637582947404319e-05,0.15851218081387364,1,1,2
2021-02-05,-1.0780209238546765,-0.0015620507729199318,0.004512550426096131,-0.0015620507729199704,0.00015809411268820543,0.15301030703640534,1,1,2
2021-02-08,-1.1135993136196594,-0.0007611500192989951,0.004787536915986857,-0.000761150019298865,2.898383859178725e-05,0.14796047030960496,1,1,2
2021-02-09,-1.1937868075473608,-0.001603877525088393,0.005140582751233227,-0.001603877525088499,2.290259682640957e-05,0.14307114537215773,1,1,2
2021-02-10,-1.1296755602050146,0.0010907028379238959,0.005365003462525011,0.0010907028379240696,9.202200509098512e-06,0.13890090625203508,1,1,2
2021-02-11,-1.2940685355674102,-0.0031187305829831757,0.005727877991354914,-0.0031187305829833973,1.3892078895875772e-05,0.13478157420634587,1,1,2
2021-02-12,-1.356631541213271,-0.0012536711673956091,0.0059963017542376896,-0.0012536711673955979,0.00020419744849792883,0.13081756585624332,1,1,2
2021-02-16,-1.3823981191872308,-0.0005977438253612632,0.005983637461509649,-0.0005977438253609081,3.0243386451082142e-05,0.12744597136087635,1,1,2
2021-02-17,-1.2125501625396031,0.0029526854378980616,0.005759739313979834,0.0029526854378978842,2.1578977457514294e-05,0.12475077284622989,1,1,2
2021-02-18,-1.1308923859793325,0.0013565806878244047,0.005761634309019917,0.0013565806878245352,1.7740313776838784e-05,0.12238178496611964,1,1,2
2021-02-19,-1.092298420490024,0.0006005617034734456,0.005783371970261278,0.000600561703473134,2.206389787007904e-05,0.12025080717369192,1,1,2
2021-02-22,-0.47104728342664043,0.010928345141943296,0.006058381872447302,0.010928345141943605,9.245849806428449e-06,0.1176598691420092,1,1,2
2021-02-23,-0.13460239092669113,0.005764639808234051,0.006748579067478003,0.0057646398082337996,0.0006365849784345976,0.11346422109126185,1,1,2
2021-02-24,-0.21956432562060357,-0.0016202372956093392,0.007189688818438115,-0.001620237295609451,0.0030691016335120578,0.10896582307054321,1,1,2
2021-02-25,0.12117770801938518,0.005620230893834677,0.007709766064968905,0.005620230893834878,3.9525740915958975e-05,0.104413717132617,1,1,2
2021-02-26,-0.2314961028384535,-0.006095113820038911,0.00786793996122504,-0.006095113820039126,8.211612941556814e-06,0.09907913900609581,1,1,2
2021-03-01,-0.25311233937379823,-0.0005013755996290392,0.007824288204254584,-0.0005013755996288345,0.008663915525944157,0.0936674795978054,1,1,2
2021-03-02,0.10640374670652397,0.005556958179942395,0.008463857712837853,0.0055569581799424315,0.009765374549054547,0.08746902536012018,1,1,2
2021-03-03,0.9361541771716014,0.012613822633539051,0.0103435759462319,0.012613822633539055,0.007566348679210014,0.08316577673243203,1,1,2
2021-03-04,1.41936760374516,0.006967546989779194,0.012600492031984186,0.006967546989779397,0.0036359008152684396,0.07858734524808698,1,1,2
2021-03-05,1.4176483750391156,-0.00048821036491908387,0.014193896440088685,-0.0004882103649193072,0.002145396971622131,0.07547640538090217,1,1,2
2021-03-08,1.843029890065925,0.006024110712086639,0.015947834393723225,0.006024110712086849,0.0024540681270137773,0.07463364000677186,1,1,2
2021-03-09,0.6709710428894988,-0.017432206303094944,0.01601050501299932,-0.017432206303095134,0.0013124942314370882,0.07558087665377676,1,1,2
2021-03-10,0.9456417428914472,0.003940024718469992,0.016053157010776923,0.00394002471846966,0.0015791380832432915,0.077074476140763,1,1,2
2021-03-11,0.33694759581446176,-0.009004778140072833,0.015690900329490887,-0.009004778140072677,0.0013724287928366813,0.08001454718130276,1,1,2
2021-03-12,0.39190745806522,0.0007363510796483119,0.015037561345666993,0.0007363510796481515,0.0018839754722518316,0.08343752646950933,1,1,2
2021-03-15,0.10823810200155287,-0.004199506318112611,0.014095784777122361,-0.004199506318112446,0.0017451319223067514,0.08831874997608063,1,1,2
2021-03-16,0.058618418182315946,-0.0007716716473122887,0.012923779783243888,-0.0007716716473122906,0.001581667032612991,0.09546017648213943,1,1,2
2021-03-17,0.0747976223115182,0.0002495497971120031,0.011840521412279516,0.0002495497971123665,0.0020573746762924685,0.10453601186874249,1,1,2
2021-03-18,0.4530819521117092,0.005559416092692615,0.010668955716948026,0.0055594160926922594,0.0010663587944295535,0.11090334524513172,1,1,2
2021-03-19,0.46541911706161615,0.00024885549392639206,0.009264639919312558,0.00024885549392651,1.0368083260010651e-05,0.11150732213168854,1,1,2
2021-03-22,0.32897668311856687,-0.0018165941345200665,0.00877674169405213,-0.0018165941345200587,0.00013464403874916824,0.1092576444924208,1,1,2
2021-03-23,0.5488828051876932,0.0030623678598189485,0.008595774851285709,0.00306236785981877,0.00015193787208653647,0.1078388524530905,1,1,2
